D,N,exp_name,exp_value,exp_std,notes
2,8,alpha_1,0.5597380871874454,0.05350569251096626,
2,8,alpha_2,0.4287967017433469,0.13331375247415134,
2,8,k_c,0.25688947355259817,0.0019259167268891961,from alpha
2,16,alpha_1,0.6182450653114695,0.03304040084000528,
2,16,alpha_2,0.4834444874982155,0.06357479034655218,
2,16,k_c,0.2287028754998704,0.0006715526370182136,from alpha
2,32,alpha_1,0.6872730068869943,0.017726049279685914,
2,32,alpha_2,0.3872581054185768,0.03856283828176562,
2,32,k_c,0.22430964991745306,0.00035670788300551164,from alpha
2,64,alpha_1,0.6971192201717097,0.009340651386579907,
2,64,alpha_2,0.3660276927269162,0.021389711305725395,
2,64,k_c,0.2217368117527056,0.00019556214766214082,from alpha
3,4,alpha_1,0.4834935502135584,0.04337862765656016,
3,4,alpha_2,0.4358764863277877,0.11458592541139775,
3,4,k_c,0.14568294893209485,0.0006104521837582232,from alpha
3,6,alpha_1,0.7997409572059871,0.039166454286358,
3,6,alpha_2,0.2910818538698053,0.0573707193122663,
3,6,k_c,0.12582994077999965,0.00028036468136407835,from alpha
3,8,alpha_1,1.020850353355432,0.050066565755133664,
3,8,alpha_2,0.3414226221504701,0.042931603201417416,
3,8,k_c,0.1171730380375603,0.0003475098110887096,from alpha
3,10,alpha_1,0.9649991528273004,0.05317198754854265,
3,10,alpha_2,0.3738703220526101,0.03214599995759854,
3,10,k_c,0.11437808795793974,0.0003615655121125782,from alpha
3,16,alpha_1,0.7869109347399422,0.02145639473748024,
3,16,alpha_2,0.4353245715170761,0.013657076826617796,
3,16,k_c,0.11214393879007294,0.00011298107129129629,from alpha
4,4,alpha_1,0.5730795336508187,0.1850959965869733,
4,4,alpha_2,0.3875432316433296,0.08548281244077571,
4,4,k_c,0.08220942305680999,0.0012413878726994492,from alpha
4,6,alpha_1,0.8801353764879751,0.11562669930268354,
4,6,alpha_2,0.30814594775196225,0.03046916266039657,
4,6,k_c,0.07775909699315282,0.00026901912728621093,from alpha
4,8,alpha_1,0.5697531865848641,0.15202028734929146,
4,8,alpha_2,0.31768689765868274,0.0287833794256065,
4,8,k_c,0.07488619006877964,0.0003728984204083069,from alpha
4,10,alpha_1,0.4379782320696793,0.03485569100436493,
4,10,alpha_2,0.16585123552942216,0.0227647332626684,
4,10,k_c,0.0743289146741977,0.00023673616421343861,from alpha
2,8,gamma_1,1.5239302217013413,0.012915955618490571,
2,8,gamma_2,0.8227763741516892,0.5529721979779212,
2,8,k_c,0.2586056530094956,3.308324310124332e-06,from gamma
2,16,gamma_1,1.5264985349636218,0.0230603202645476,
2,16,gamma_2,2.2383441785472127,0.10477229584144516,
2,16,k_c,0.2304092208064185,0.00014652029374713954,from gamma
2,32,gamma_1,2.370312374274013,0.010087376133191842,
2,32,gamma_2,1.1692762837454085,0.12742455132425376,
2,32,k_c,0.2265172341144276,8.814026086132599e-06,from gamma
